Density,DT,GR,RT,UCS
2.349058767,91.28971404,96.90046642,16.06348193,33.35632179
2.353610059,92.80624255,92.96473868,16.67173047,32.14136633
2.37441601,92.44360314,91.91521711,17.03664077,33.35632179
2.391970986,91.28971404,94.27664793,17.27993049,35.60203963
2.42317984,90.43249349,103.4600127,17.8881305,37.59590683
2.428381328,90.66032713,107.6580989,18.00975109,38.52145243
2.428381328,91.56347027,110.5443051,18.37470992,37.91722817
2.407575376,92.43264562,111.8916242,18.49633051,36.27573458
2.393271303,92.81580755,107.6580989,18.37470992,34.03004589
2.35621084,93.28983702,97.94998799,18.13142021,31.11063309
2.339956254,94.14702841,94.27664793,17.76650991,29.31406465
2.334754767,94.04322278,90.49142914,17.40155108,29.08948995
2.341906767,93.2157215,91.39047091,16.91497165,30.66148369
2.354260254,92.43264562,100.5738065,16.42844076,31.63531665
2.354910449,92.14690544,105.0342804,16.06348193,32.23347744
2.348408645,91.81773044,107.3957112,15.82019222,33.13174709
2.340606376,91.65778748,108.1828743,15.45528192,33.13174709
2.328252889,92.14690544,105.0342804,15.09037162,31.33520779
2.325,93.28983702,100.0490311,14.72541279,30.39749752
2.323051401,93.66727774,96.11333254,14.36050249,29.98778875
2.319800498,93.28983702,93.48951404,14.11721278,29.31406465
2.325652181,92.63551759,91.39047091,13.99559219,29.44618071
2.330203474,92.14690544,91.28455681,13.75230247,30.21236345
2.328,92.14690544,91.39047091,13.75230247,30.66148369
2.326302376,92.52046043,90.07856166,13.38734364,29.53863935
2.323051401,93.06306942,90.07856166,13.26572305,28.66025279
2.318500108,93.5755772,92.702351,13.26572305,28.53336617
2.324351791,93.84156718,95.85094486,13.02243334,29.08948995
2.326,93.5755772,99.26189724,12.90081275,30.21236345
2.343207157,92.64221646,100.8361942,12.65752304,31.62595882
2.353610059,91.57542507,100.5395866,12.17094362,33.13174709
2.380917815,90.91201613,99.7866726,12.29256421,34.60002973
2.390670596,90.53096379,99.5430022,12.17094362,36.05115988
2.410176157,90.14678246,98.21237567,12.0492745,37.39857893
2.412126669,89.86104227,95.06381097,12.65752304,37.91796457
2.407575376,90.77051027,93.66301286,13.14405393,36.50030928
2.396522279,92.14690544,92.17760479,13.50901276,33.13174709
2.383518596,92.97324426,88.76665241,14.11721278,31.11063309
2.353610059,93.28983702,86.66758013,15.21199221,30.04167039
2.344507547,93.36151552,84.56853699,15.09037162,29.76321405
2.349058767,93.29390369,82.99521151,15.57690251,30.21236345
2.347,93.15282348,83.51901542,15.09037162,30.4497314
2.346458059,93.00409683,86.66758013,14.2388819,30.33228589
2.339306059,92.90793121,89.5537863,13.14405393,29.98778875
2.330853669,92.90207607,91.89649795,12.53585392,29.62331769
2.329553279,93.01866635,94.53903561,11.80603332,29.76321405
2.353610059,93.28983702,98.21237567,11.3194539,30.73783381
2.366613815,93.69250585,102.5178239,11.07616419,31.78432804
2.399122986,93.98272198,105.0342804,10.71120535,32.20954895
2.429031449,93.86131738,106.083802,10.22467446,32.69235838
2.442685328,93.14911546,111.8562144,10.10300534,34.25462059
